Rv_ID,PE35_KO_vs_mbio_H37Rv,PPE68_KO_vs_mbio_H37Rv,Rv0950c_KO_vs_CB_WT,Rv0954_KO_vs_RJ_WT,Rv1096_KO_vs_CB_WT,Rv3005c_KO_day32_vs_dejesus_H37Rv_day32,Rv3594_KO_vs_Rubin_FLUTE_WT,Rv3684_KO_vs_CB_WT,Rv3717_KO_vs_Rubin_FLUTE_WT,Rv3811_KO_vs_Rubin_FLUTE_WT,bellerose_MB_HRZE_wk1_vs_bellerose_MB_d21_untreated,bellerose_MB_HRZE_wk1_vs_bellerose_MB_pretreatment,bellerose_MB_d21_untreated_vs_bellerose_MB_pretreatment,carey_621_vs_carey_rv,carey_630_vs_carey_rv,carey_631_vs_carey_rv,carey_632_vs_carey_rv,carey_641_vs_carey_rv,carey_662_vs_carey_rv,carey_663_vs_carey_rv,carey_667_vs_carey_rv,dejesus_H37Rv_day32_vs_dejesus_H37Rv_day0,dejesus_Rv0307c_day32_vs_dejesus_Rv0307c_day0,dejesus_Rv1432_day0_vs_dejesus_H37Rv_day0,dejesus_Rv1432_day32_vs_dejesus_H37Rv_day32,dejesus_Rv1432_day32_vs_dejesus_Rv1432_day0,dejesus_Rv1565c_day0_vs_dejesus_H37Rv_day0,dejesus_Rv1565c_day32_vs_dejesus_H37Rv_day32,dejesus_Rv1565c_day32_vs_dejesus_Rv1565c_day0,dejesus_Rv2680_day0_vs_dejesus_H37Rv_day0,dejesus_Rv2680_day32_vs_dejesus_H37Rv_day32,dejesus_Rv2680_day32_vs_dejesus_Rv2680_day0,dejesus_Rv3916c_day32_vs_dejesus_Rv3916c_day0,eccD1_KO_vs_mbio_H37Rv,espI_KO_vs_mbio_H37Rv,griffin_cholesterol_vs_griffin_glycerol,griffin_glycerol_vs_mbio_H37Rv,kieser_dPonA1_vs_mbio_H37Rv,korte_2016_otsa_trehalose_vs_korte_2016_otsa_7h9,marP_KO_vs_marP_WT,minato_minimal_plate_vs_minato_rich_plate,mishra_C3H_vs_mishra_B6,mishra_NOS2_vs_mishra_B6,mishra_NOS2_vs_mishra_C3H,nambi_2015_ctpC_vs_nambi_2015_wt,ritterhaus_hypoxia_H3_vs_ritterhaus_hypoxia_input,ritterhaus_hypoxia_H6_vs_ritterhaus_hypoxia_input,xu_emb_2.5_vs_xu_emb_0,xu_emb_3_vs_xu_emb_0,xu_inh_025_vs_xu_inh_0,xu_inh_02_vs_xu_inh_0,xu_mero_2.5_vs_xu_mero_0,xu_rif_4_vs_xu_rif_0,xu_van_16_vs_xu_van_0,zhang_AA_Rescue_vs_zhang_in_vitro_control_Rescue,zhang_DETA-NO_pH_7.0_vs_zhang_pH_7.0_no_NO_control,zhang_Fe_1.5mM_vs_zhang_Fe_450uM,zhang_Trp_Rescue_vs_zhang_in_vitro_control_Rescue,zhang_Tyloxapol_pH_6.5_vs_zhang_Tyloxapol_pH_4.5,zhang_Tyloxapol_pH_6.5_vs_zhang_pcit_pH_4.5,zhang_mhcii_mouse_d10_vs_zhang_wt_mouse_d10,zhang_mhcii_mouse_d45_vs_zhang_wt_mouse_d45,zhang_wt_mouse_d10_vs_zhang_input_library,zhang_wt_mouse_d45_vs_zhang_input_library,129s1.SvImJ_vs_C57BL.6J,A.J_vs_C57BL.6J,C57BL.6J_vs_129s1.SvImJ,C57BL.6J_vs_A.J,C57BL.6J_vs_C57BL.6J,C57BL.6J_vs_mbio_H37Rv,CC001.Unc_vs_C57BL.6J,CC002.Unc_vs_C57BL.6J,CC003.Unc_vs_C57BL.6J,CC004.TauUnc_vs_C57BL.6J,CC005.TauUnc_vs_C57BL.6J,CC006.TauUnc_vs_C57BL.6J,CC007.Unc_vs_C57BL.6J,CC008.GeniUnc_vs_C57BL.6J,CC009.Unc_vs_C57BL.6J,CC010.GeniUnc_vs_C57BL.6J,CC011.Unc_vs_C57BL.6J,CC012.GeniUnc_vs_C57BL.6J,CC013.GeniUnc_vs_C57BL.6J,CC015.Unc_vs_C57BL.6J,CC016.GeniUnc_vs_C57BL.6J,CC017.Unc_vs_C57BL.6J,CC018.Unc_vs_C57BL.6J,CC019.TauUnc_vs_C57BL.6J,CC021.Unc_vs_C57BL.6J,CC022.GeniUnc_vs_C57BL.6J,CC023.GeniUnc_vs_C57BL.6J,CC024.GeniUnc_vs_C57BL.6J,CC025.GeniUnc_vs_C57BL.6J,CC027.GeniUnc_vs_C57BL.6J,CC028.GeniUnc_vs_C57BL.6J,CC030.GeniUnc_vs_C57BL.6J,CC031.GeniUnc_vs_C57BL.6J,CC032.GeniUnc_vs_C57BL.6J,CC033.GeniUnc_vs_C57BL.6J,CC034.Unc_vs_C57BL.6J,CC035.Unc_vs_C57BL.6J,CC037.TauUnc_vs_C57BL.6J,CC038.GeniUnc_vs_C57BL.6J,CC039.Unc_vs_C57BL.6J,CC040.TauUnc_vs_C57BL.6J,CC041.TauUnc_vs_C57BL.6J,CC042.GeniUnc_vs_C57BL.6J,CC043.GeniUnc_vs_C57BL.6J,CC044.Unc_vs_C57BL.6J,CC045.GeniUnc_vs_C57BL.6J,CC046.Unc_vs_C57BL.6J,CC047.Unc_vs_C57BL.6J,CC051.TauUnc_vs_C57BL.6J,CC056.GeniUnc_vs_C57BL.6J,CC057.Unc_vs_C57BL.6J,CC059.TauUnc_vs_C57BL.6J,CC061.GeniUnc_vs_C57BL.6J,CC065.Unc_vs_C57BL.6J,Cast.EiJ_vs_C57BL.6J,IFNG_vs_C57BL.6J,NOD.ShiLtJ_vs_C57BL.6J,NOS_vs_C57BL.6J,NZO.H1LtJ_vs_C57BL.6J,PWK.PhJ_vs_C57BL.6J,Phox_vs_C57BL.6J,Rag_vs_C57BL.6J,Wsb.Eij_vs_C57BL.6J,in_vitro_vs_C57BL.6J,Functional_Category
Rv3320c,0.3916,0.5217,0.7966,0.9122,0.8196,0.8143,0.6852,0.8309,0.6728,0.8422,0.2434,0.3844,0.4581,0.5688,0.8168,0.5723,0.8492,0.7019,0.7723,0.3438,0.9675,0.5736,0.274,0.0001,0.1017,0.2989,0.3952,0.1091,0.9009,0.0154,0.8152,0.1737,0.1625,0.6201,0.8239,0.4505,0.7293,0.1339,0.1721,0.6565,0.332,0.6725,0.8975,0.7643,0.0051,0.8857,0.8955,0.8513,0.9585,0.8693,0.8684,0.8577,0.8772,0.8797,0.9101,0.8285,0.8771,1.0,0.6656,0.2744,0.0101,0.0656,0.0055,0.8575,0.9928,0.7443,0.993,0.7506,1.0,0.7798,0.8473,0.4961,0.6903,0.7659,0.8462,0.561,0.6928,0.371,0.9674,0.9185,0.3475,0.4291,0.697,0.5031,0.5089,0.4069,0.9658,0.9622,0.9411,0.8647,0.6202,0.6444,0.5949,0.6467,0.9668,0.8699,0.8606,0.7657,0.189,0.5472,0.6002,0.2549,0.428,0.5104,0.434,0.2798,0.771,0.8689,0.9033,0.1847,0.6381,0.8835,0.8232,0.6363,0.7168,0.207,0.0492,0.9106,0.7808,0.6192,0.6178,0.886,0.9372,0.5632,0.4691,0.3402,0.3091,0.5618,"virulence, detoxification, adaptation"
Rv3321c,0.7007,0.8996,0.6978,0.7309,0.6988,0.5909,0.901,1.0,1.0,0.9046,0.2927,0.3947,0.5428,0.3016,0.5006,0.51,0.303,0.5464,0.455,0.886,0.4914,0.8839,1.0,0.2363,0.2118,0.6819,0.4571,0.2026,0.6161,0.4514,0.7961,0.7942,1.0,0.6234,0.5757,0.4028,0.6238,0.6708,0.6978,0.68,0.9193,0.9143,0.9733,0.6188,0.8795,0.9512,0.6034,0.7343,0.809,0.9401,0.8531,1.0,0.7333,0.8091,0.705,0.6935,0.8251,0.6977,0.5604,0.4932,0.6652,0.7141,0.6991,0.9053,0.8533,0.537,0.8528,0.5433,1.0,0.5305,0.5095,0.9132,0.8694,0.8245,0.944,0.9901,0.9161,0.6507,0.9474,0.7911,0.9617,0.8659,0.7547,0.9478,1.0,0.9234,0.8655,0.841,0.6353,0.973,0.9137,0.8035,0.9104,0.537,0.599,0.7735,0.6178,0.5906,0.7836,0.4281,0.5251,0.5333,0.2994,0.9067,0.9738,0.8908,0.8073,0.9312,0.6394,0.8617,0.5698,0.9318,0.7919,0.9303,0.8097,0.619,0.5547,0.8197,0.9461,0.9147,0.8854,0.6195,0.8087,0.9093,0.826,0.7323,0.9303,0.7391,"virulence, detoxification, adaptation"
Rv3322c,0.8466,0.7916,0.9379,0.5823,0.8909,0.3223,0.9872,0.8641,0.8828,0.7772,0.2077,0.1171,0.912,0.0236,0.1768,0.1327,0.0802,0.125,0.0747,0.1627,0.0547,0.2781,0.4013,0.3876,0.8967,0.7147,0.3481,0.1614,0.7954,0.2399,0.857,0.0161,0.479,0.9624,0.8392,0.8782,0.9258,0.2551,0.9154,0.3142,0.3786,0.3853,0.6139,0.2942,0.2484,0.7342,0.5658,0.5367,0.4895,0.7702,0.9834,0.7972,0.8362,0.9667,0.363,0.6429,0.706,0.7979,0.9475,0.4823,0.7496,0.537,0.8496,0.6299,0.9755,0.9988,0.9791,0.9983,1.0,0.5188,0.9491,0.6246,0.6099,0.322,0.5913,0.8629,0.2369,0.631,0.587,0.664,0.8909,0.9139,0.507,0.7292,0.3895,0.8324,0.736,0.6981,0.6968,0.3967,0.9158,0.995,0.8086,0.2524,0.7267,0.6393,0.6428,0.7892,0.8973,0.8741,0.3929,0.9762,0.6814,0.5197,0.9028,0.3615,0.4013,0.9666,0.2236,0.5339,0.3451,0.9007,0.9502,0.9687,0.7286,0.8362,0.6879,0.934,0.4302,0.6818,0.8565,0.9714,0.3271,0.8887,0.4809,0.3205,0.6904,0.8738,intermediary metabolism and respiration
Rv3323c,0.6298,0.5764,0.834,0.7743,0.7567,0.0683,0.8282,0.9233,0.9085,0.9884,0.3575,0.6764,0.4587,0.7245,0.3753,0.0606,0.3042,0.68,0.2319,0.2743,0.4447,0.6692,0.9038,0.9464,0.713,0.432,0.5366,0.3711,0.2843,0.0095,0.0571,0.8802,0.1409,0.4807,0.675,0.6822,0.773,0.9866,0.6178,0.5468,0.8338,0.9891,0.9048,0.8683,0.7712,0.8557,0.3697,0.9861,0.9191,0.5772,0.3518,0.5713,0.8581,0.9564,0.8958,0.5897,0.5756,0.4865,0.0415,0.7878,0.5938,0.3439,0.0692,0.0225,0.6527,0.8777,0.6379,0.8813,1.0,0.401,0.8314,0.7596,0.9037,0.7969,0.837,0.5121,0.1838,0.4583,0.9189,0.4163,0.7263,0.4887,0.1712,0.8233,0.1614,0.9124,0.9016,0.4113,0.891,0.6885,0.532,0.5913,0.9522,0.2144,0.9854,0.5362,0.2524,0.5891,0.7578,0.6795,0.8485,0.8783,0.1801,0.8427,0.7481,0.9601,0.9194,0.6541,0.5835,0.8563,0.661,0.825,0.4601,0.1842,0.7532,0.809,0.0892,0.5659,0.9731,0.5334,0.3641,0.9288,0.5487,0.4408,0.6815,0.6626,0.6704,0.8631,intermediary metabolism and respiration
Rv3324c,0.9118,0.9457,0.9747,0.8592,0.9972,0.3849,0.9653,0.8485,0.9248,0.8045,0.0976,0.4781,0.1945,0.2131,0.7985,0.033,0.0719,0.2831,0.1937,0.0111,0.1924,0.8836,0.964,0.971,0.9692,0.7503,0.6303,0.7532,0.9928,0.5813,0.1157,0.0872,0.453,0.9558,0.868,0.5544,0.5734,0.8295,0.4482,0.5848,0.4999,0.5162,0.4561,0.9699,0.9362,0.7855,0.7784,0.9462,0.9753,0.7318,0.6179,0.374,0.8539,0.8451,0.7744,0.8829,0.9937,0.834,0.9282,0.8804,0.5176,0.4422,0.7257,0.6743,0.6755,0.7983,0.6709,0.8075,1.0,0.7045,0.9212,0.6918,0.9647,0.9667,0.7615,0.7875,0.5098,0.5252,0.5774,0.7073,0.8302,0.877,0.577,0.9726,0.708,0.6929,0.6085,0.8119,0.5598,0.5007,0.7631,0.9628,0.6705,0.9711,0.7787,0.7496,0.8222,0.8405,0.7677,0.57,0.4719,0.3579,0.884,0.8323,0.74,0.7534,0.8795,0.6594,0.6977,0.9828,0.5037,0.9522,0.6082,0.7152,0.9068,0.7319,0.3516,0.7302,0.8426,0.653,0.3146,0.6145,0.9831,0.9109,0.9514,0.7894,0.7599,0.745,intermediary metabolism and respiration
Rv3325,0.8941,0.8303,0.7471,0.6992,0.8305,0.2834,0.707,0.8766,0.9409,0.8883,0.4682,0.9735,0.4234,0.0981,0.8601,0.7749,0.4608,0.4607,0.3044,0.0279,0.4959,0.3622,0.2702,0.7787,0.7154,0.2994,0.432,0.0724,0.7464,0.3662,0.2534,0.2527,0.5072,0.7032,0.9533,0.4207,0.2835,0.4589,0.9826,0.6627,0.9278,0.0319,0.0896,0.6324,0.6134,0.5156,0.7739,0.8503,0.7414,0.6555,0.7722,0.5972,0.8097,0.8653,0.7674,0.8954,0.5624,0.8431,0.6378,0.1632,0.7098,0.8118,0.9504,0.458,0.1719,0.0971,0.1693,0.0972,1.0,0.2711,0.6974,0.242,0.7045,0.5304,0.5552,0.5159,0.4044,0.9114,0.2962,0.4616,0.3878,0.861,0.7348,0.945,0.6417,0.8488,0.2751,0.1733,0.2145,0.5993,0.4228,0.8779,0.2594,0.8203,0.9104,0.5849,0.3304,0.61,0.9564,0.2024,0.6898,0.3361,0.224,0.6747,0.7601,0.4075,0.6157,0.8924,0.7666,0.6342,0.5025,0.6354,0.0724,0.6098,0.861,0.4558,0.8854,0.3368,0.4226,0.2713,0.9429,0.3294,0.3528,0.1805,0.3367,0.057,0.4717,0.1528,insertion seqs and phages
Rv3326,0.4786,0.271,0.9112,0.9594,0.9859,0.0513,0.8392,0.8764,0.7377,0.848,0.6088,0.6642,0.8912,0.0021,0.4409,0.3468,0.1776,0.3866,0.0404,0.0,0.0585,0.6364,0.6408,0.5249,0.4689,0.2986,0.1697,0.1821,0.4861,0.217,0.2116,0.2954,0.107,0.1581,0.3762,0.2714,0.006,0.1219,0.6711,0.5157,0.6652,0.0,0.0,0.3345,0.0832,0.442,0.5746,0.7008,0.2753,0.7061,0.5778,0.9649,0.5432,0.8067,0.8087,0.5105,0.1234,0.7149,0.8476,0.5651,0.5906,0.048,0.8536,0.194,0.0013,0.004,0.0012,0.004,1.0,0.039,0.2703,0.0157,0.0719,0.0431,0.0373,0.0715,0.8727,0.6344,0.3826,0.1243,0.0399,0.2063,0.6045,0.5109,0.1037,0.5243,0.0035,0.0209,0.1176,0.0316,0.0516,0.2057,0.0049,0.8221,0.7825,0.1878,0.0131,0.0937,0.4772,0.1944,0.3131,0.2642,0.019,0.5073,0.6354,0.0094,0.9579,0.9887,0.6763,0.401,0.1507,0.3888,0.0005,0.0457,0.1993,0.8582,0.1493,0.0293,0.0271,0.0016,0.2537,0.0145,0.0508,0.0343,0.0492,0.0005,0.323,0.0,insertion seqs and phages
Rv3327,0.506,0.4766,0.8997,0.5074,0.4179,0.3775,0.4927,0.7855,0.967,0.2408,0.9721,0.6755,0.7342,0.6616,0.5006,0.2783,0.2397,0.7236,0.1107,0.0732,0.5753,0.1311,0.4505,0.9414,0.409,0.3447,0.8379,0.1274,0.7754,0.001,0.3016,0.9129,0.1197,0.6011,0.4991,0.2687,0.3553,0.5428,0.1715,0.6138,0.2579,0.4599,0.9102,0.484,0.4047,0.373,0.5283,0.904,0.6176,0.261,0.3873,0.9791,0.7417,0.7946,0.6808,0.4941,0.3038,0.6064,0.2433,0.7706,0.4762,0.2482,0.8011,0.9278,0.7524,0.7072,0.7608,0.7036,1.0,0.9449,0.852,0.9654,0.4309,0.7212,0.5701,0.8563,0.4545,0.5506,0.9626,0.5613,0.5877,0.2621,0.9202,0.6415,0.232,0.6085,0.9324,0.3444,0.7436,0.5422,0.7072,0.4343,0.2648,0.7471,0.6108,0.8308,0.1263,0.5503,0.8842,0.3545,0.9628,0.4353,0.174,0.8393,0.4177,0.4009,0.1651,0.2374,0.3327,0.6986,0.9851,0.3645,0.5809,0.5519,0.4444,0.7593,0.8306,0.6574,0.3837,0.5093,0.7848,0.7681,0.9373,0.601,0.6767,0.46,0.8224,0.5382,insertion seqs and phages
Rv3328c,0.9794,0.9799,0.6039,0.462,0.7504,0.2705,0.8497,0.7551,0.537,0.7687,0.6046,0.9952,0.5207,0.3208,0.9192,0.7124,0.82,0.6311,0.9693,0.3575,0.8272,0.9452,0.7149,0.1528,0.0871,0.8486,0.3215,0.1126,0.8525,0.1496,0.1507,0.8965,0.1365,0.6318,0.9552,0.6503,0.0145,0.9368,0.8239,0.8982,0.5535,0.4106,0.5445,0.7692,0.8536,0.6137,0.0352,0.7465,0.8858,0.5723,0.5326,0.6432,0.9959,0.9923,0.8926,0.6463,0.5993,1.0,0.7488,0.035,0.9085,0.7138,0.493,0.1989,0.9122,0.8998,0.9113,0.8928,1.0,0.0555,0.9385,0.4812,0.8814,0.9402,0.9198,0.8866,0.5096,0.4031,0.8592,0.9827,0.9461,0.9404,0.3905,0.9027,0.7177,0.841,0.8504,0.875,0.395,0.8962,0.7919,0.9306,0.9715,0.5876,0.941,0.5417,0.8649,0.9976,0.721,0.5814,0.9506,0.8537,0.7424,0.9029,0.9046,0.9554,0.8808,0.5614,0.9543,0.8144,0.4212,0.8105,0.8023,0.98,0.8339,0.6984,0.5082,0.9117,0.8351,0.8617,0.8392,0.9469,0.494,0.7045,0.7769,0.9519,0.9865,0.9168,information pathways
Rv3329,0.4826,0.7348,0.9597,0.0338,0.8002,0.0621,0.627,0.9159,0.6262,0.5309,0.8935,0.8507,0.7231,0.0097,0.9891,0.1721,0.0181,0.3478,0.3286,0.261,0.4645,0.689,0.7266,0.139,0.3477,0.7349,0.3558,0.7425,0.4792,0.0001,0.0517,0.9315,0.6463,0.6007,0.8478,0.8582,0.076,0.6451,0.7463,0.3009,0.1359,0.9358,0.7476,0.76,0.5814,0.6605,0.3595,0.8969,0.9231,0.854,0.9743,0.9563,0.7616,0.8619,0.4649,0.9331,0.8748,0.1677,0.0906,0.7409,0.4098,0.5464,0.7051,0.651,0.168,0.9566,0.1691,0.9576,1.0,0.0132,0.6073,0.7847,0.5104,0.8094,0.5067,0.4461,0.6381,0.1669,0.3599,0.2033,0.5671,0.4259,0.6497,0.5944,0.5751,0.7218,0.1976,0.7987,0.7875,0.4869,0.5622,0.2046,0.6265,0.9437,0.6182,0.6773,0.8922,0.9899,0.1874,0.7836,0.5899,0.3814,0.4808,0.5886,0.9352,0.3584,0.9303,0.2004,0.3641,0.5209,0.1815,0.592,0.7531,0.5071,0.4538,0.7071,0.9484,0.3853,0.5374,0.1784,0.1235,0.5296,0.8729,0.8424,0.3372,0.0281,0.9451,0.2292,intermediary metabolism and respiration
Rv3330,0.7527,0.9433,0.5766,0.1821,0.9513,0.1202,0.8708,0.662,0.8267,0.6477,0.0599,0.0809,0.6852,0.0057,0.3483,0.4976,0.2401,0.4718,0.0438,0.5312,0.698,0.0423,0.0995,0.166,0.2767,0.4646,0.1841,0.8984,0.9011,0.9996,0.7871,0.1477,0.1832,0.6796,0.8006,0.4935,0.4659,0.5439,0.4814,0.0,0.4321,0.8604,0.7696,0.5423,0.6018,0.7497,0.2667,0.6738,0.2215,0.4548,0.9835,0.0054,0.0187,0.6197,0.6972,0.9284,0.6219,0.912,0.1773,0.4377,0.4857,0.7748,0.7791,0.775,0.2338,0.7969,0.2497,0.7974,1.0,0.0604,0.4986,0.4846,0.7444,0.6305,0.7817,0.6968,0.0521,0.7395,0.3265,0.0909,0.7257,0.6142,0.6715,0.8241,0.0771,0.8952,0.5054,0.2457,0.1668,0.2353,0.0301,0.794,0.6253,0.6468,0.3755,0.6955,0.197,0.1838,0.5385,0.8927,0.1329,0.4155,0.3859,0.832,0.2324,0.3659,0.8249,0.2216,0.8373,0.0246,0.3609,0.4135,0.9651,0.4114,0.8093,0.1946,0.453,0.2399,0.9101,0.0546,0.1444,0.7386,0.3299,0.4952,0.1186,0.2629,0.1444,0.1566,cell wall and cell processes
Rv3331,0.6476,0.8419,0.5297,0.0596,0.679,0.0028,0.5546,0.9789,0.3215,0.0647,0.6973,0.3095,0.6409,0.9214,0.4491,0.7094,0.6131,0.7887,0.6154,0.0282,0.3676,0.007,0.5492,0.0452,0.0002,0.7003,0.563,0.0019,0.522,0.6875,0.0,0.4238,0.3577,0.6511,0.777,0.8632,0.1365,0.2146,0.8489,0.5846,0.5572,0.6463,0.692,0.9512,0.5296,0.8703,0.1436,0.1057,0.0004,0.5385,0.8104,0.9943,0.1203,0.1687,0.0216,0.029,0.3954,0.0384,0.1408,0.5972,0.2706,0.9527,0.5645,0.1792,0.5706,0.8505,0.5758,0.8472,1.0,0.0459,0.0819,0.6671,0.5857,0.7524,0.3805,0.7307,0.9688,0.1727,0.5812,0.5317,0.494,0.105,0.4475,0.3468,0.5185,0.6015,0.5056,0.8488,0.6666,0.4187,0.5973,0.0661,0.5583,0.7994,0.5079,0.7225,0.6566,0.2171,0.7939,0.4758,0.8353,0.9188,0.5575,0.5915,0.7768,0.6739,0.3179,0.3218,0.9276,0.4191,0.92,0.9329,0.766,0.9643,0.7438,0.5661,0.4941,0.2964,0.1669,0.2062,0.8474,0.2138,0.2581,0.6915,0.9823,0.7778,0.9755,0.2121,cell wall and cell processes
Rv3332,0.97,0.6148,0.7982,0.4834,0.6379,0.0925,0.6963,0.8681,0.8276,0.6221,0.6621,0.9477,0.5663,0.0926,0.0374,0.0366,0.4299,0.0142,0.0233,0.0218,0.0511,0.8453,0.8925,0.0009,0.0108,0.743,0.722,0.7805,0.7964,0.3933,0.2651,0.5236,1.0,0.921,0.9014,0.733,0.858,0.0176,0.4492,0.7235,0.3974,0.2219,0.1066,0.7344,0.3876,0.4767,0.4069,0.348,0.1176,0.3725,0.7032,0.1669,0.8621,0.9072,0.5747,0.414,0.2118,0.8819,0.3786,0.7282,0.3759,0.0766,0.9108,0.1729,0.3371,0.5265,0.3368,0.5249,1.0,0.2622,0.2391,0.5216,0.3843,0.378,0.2075,0.3385,0.8523,0.4995,0.3675,0.2996,0.3331,0.2287,0.2965,0.5155,0.0338,0.4044,0.7179,0.1738,0.2902,0.6987,0.7191,0.3296,0.4137,0.6078,0.9145,0.3801,0.1599,0.875,0.601,0.8211,0.8875,0.5748,0.919,0.2072,0.8622,0.9023,0.9226,0.7908,0.4037,0.6041,0.6345,0.6065,0.2216,0.3343,0.3793,0.6692,0.8999,0.1604,0.1286,0.2424,0.3966,0.3018,0.3244,0.8001,0.5172,0.4401,0.2324,0.347,cell wall and cell processes
Rv3334,0.8785,0.8468,0.906,0.2743,0.8759,0.0885,0.6371,0.9328,0.6286,0.6889,0.8533,0.5875,0.7058,0.1016,0.1684,0.4917,0.0505,0.1522,0.4631,0.9498,0.6917,0.6581,0.312,0.0022,0.0005,0.1245,0.7198,0.9517,0.5138,0.9885,0.0023,0.0028,0.6888,0.802,0.7773,0.8247,0.2232,0.8115,0.5478,0.0497,0.3535,0.9217,0.9278,0.698,0.5012,0.3381,0.3646,0.9989,0.5932,0.5453,0.7238,0.662,0.9091,0.8751,0.2886,0.9434,0.2622,0.7758,0.5024,0.2255,0.1559,0.9124,0.8335,0.8892,0.6555,0.7439,0.6481,0.745,1.0,0.1702,0.7681,0.9174,0.7961,0.7174,0.8212,0.9567,0.6238,0.2486,0.8496,0.9176,0.8082,0.9113,0.9887,0.7757,0.6575,0.6441,0.9753,0.7322,0.305,0.8688,0.9357,0.736,0.7561,0.5139,0.1471,0.7661,0.9468,0.7824,0.9729,0.9103,0.6619,0.3181,0.4942,0.7604,0.2271,0.9469,0.7343,0.6853,0.6054,0.8707,0.9163,0.7423,0.3627,0.7182,0.4251,0.8129,0.6421,0.8319,0.8832,0.7818,0.3885,0.4454,0.7406,0.7531,0.8848,0.1675,0.9747,0.473,regulatory proteins
Rv3335c,0.3166,0.6596,0.877,0.9188,0.6605,0.4057,0.7296,0.8269,0.3225,0.135,0.078,0.3845,0.1051,0.1077,0.6168,0.2713,0.2684,0.5681,0.2583,0.6632,0.8108,0.0002,0.1178,0.9588,0.2199,0.9677,0.9569,0.0413,0.022,0.4622,0.334,0.9873,0.9988,0.9456,0.8751,0.7501,0.2803,0.0558,0.8679,0.66,0.1349,0.0772,0.6884,0.1941,0.3367,0.0457,0.0629,0.8002,0.5077,0.7013,0.5183,0.8269,0.875,0.7489,0.4335,0.8,0.5132,0.1693,0.1536,0.3929,0.6866,0.2376,0.7322,0.6535,0.2361,0.3279,0.2437,0.3269,1.0,0.4696,0.3585,0.6278,0.3011,0.4125,0.3549,0.7507,0.2875,0.6592,0.2367,0.684,0.7202,0.5624,0.2181,0.6431,0.5529,0.9179,0.4137,0.1287,0.589,0.4985,0.7529,0.7239,0.3611,0.1501,0.541,0.047,0.1464,0.8887,0.2087,0.4033,0.3745,0.3415,0.6486,0.9256,0.702,0.4223,0.5655,0.4992,0.224,0.0755,0.8366,0.5229,0.3217,0.5041,0.7936,0.0737,0.3255,0.172,0.446,0.9731,0.0749,0.3235,0.3516,0.8927,0.2027,0.5583,0.6848,0.1805,cell wall and cell processes
Rv3336c,0.95,0.897,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.3529,0.0,0.0,0.0,0.0,0.1553,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4855,1.0,0.1575,1.0,0.1368,0.8557,1.0,0.6699,0.063,1.0,0.8389,0.4852,0.4049,1.0,1.0,1.0,0.1856,0.1628,1.0,1.0,1.0,0.4327,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2549,0.2519,1.0,1.0,1.0,1.0,1.0,0.5804,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1516,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4008,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,information pathways
Rv3339c,0.5408,0.7313,0.9239,0.5189,0.9266,0.0009,0.6588,0.6702,0.3846,0.5195,0.7765,0.8934,0.8024,0.009,0.9184,0.0093,0.1972,0.1168,0.0615,0.2851,0.5922,0.5055,0.3671,0.1469,0.0285,0.3503,0.2577,0.0074,0.6669,0.5628,0.0253,0.3097,0.5297,0.6124,0.7283,0.7888,0.2273,0.244,0.9884,0.221,0.5388,0.3902,0.5659,0.1828,0.0441,0.7024,0.7443,0.7972,0.9013,0.067,0.138,0.6831,0.8252,0.9132,0.0005,0.3394,0.1148,0.6017,0.355,0.4026,0.7912,0.5462,0.9867,0.7004,0.2586,0.4742,0.2544,0.4728,1.0,0.9178,0.4439,0.2118,0.2,0.2498,0.0744,0.3103,0.5381,0.8697,0.1735,0.6091,0.315,0.5921,0.1818,0.81,0.9617,0.226,0.2525,0.1446,0.273,0.4485,0.649,0.2151,0.311,0.9252,0.4166,0.4749,0.3494,0.2979,0.0837,0.8669,0.2753,0.2046,0.1672,0.2948,0.1965,0.1499,0.6175,0.2291,0.8428,0.3588,0.0853,0.1293,0.5473,0.0469,0.5651,0.6258,0.2236,0.2811,0.7675,0.5244,0.7414,0.2239,0.2656,0.2484,0.5899,0.787,0.3514,0.0216,intermediary metabolism and respiration
