"","ORF","Name","Description","Final.Call","tuberculist","tbdb","kegg","pubmed","google","pubmed_name","google_name","essentiality","geneName"
"2400","Rv2340c","PE_PGRS39","PE-PGRS family protein PE_PGRS39","Non-essential","<a href='https://mycobrowser.epfl.ch/genes/Rv2340c' target='_blank'>Tuberculist</a>","<a href='http://genome.tbdb.org/cgi-bin/GeneDetails.html?id=SRv2340c' target='_blank'>TB Database</a>","<a href='http://www.genome.jp/dbget-bin/www_bget?mtu:Rv2340c' target='_blank'>KEGG</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=Rv2340c' target='_blank'>PubMed</a>","<a href='https://www.google.com/search?q=Rv2340c' target='_blank'>Google</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=PE_PGRS39' target='_blank'>PubMed Gene Name</a>","<a href='https://www.google.com/search?q=PE_PGRS39' target='_blank'>Google Gene Name</a>","<span style=""font-weight:bold"">Essentiality </span>(DeJesus, 2017): Non-essential","<span style=""font-weight:bold"">ORF: </span>Rv2340c"
"2401","Rv2341","lppQ","Probable conserved lipoprotein LppQ","Non-essential","<a href='https://mycobrowser.epfl.ch/genes/Rv2341' target='_blank'>Tuberculist</a>","<a href='http://genome.tbdb.org/cgi-bin/GeneDetails.html?id=SRv2341' target='_blank'>TB Database</a>","<a href='http://www.genome.jp/dbget-bin/www_bget?mtu:Rv2341' target='_blank'>KEGG</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=Rv2341' target='_blank'>PubMed</a>","<a href='https://www.google.com/search?q=Rv2341' target='_blank'>Google</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=lppQ' target='_blank'>PubMed Gene Name</a>","<a href='https://www.google.com/search?q=lppQ' target='_blank'>Google Gene Name</a>","<span style=""font-weight:bold"">Essentiality </span>(DeJesus, 2017): Non-essential","<span style=""font-weight:bold"">ORF: </span>Rv2341"
"2402","Rv2342","Rv2342","hypothetical protein","Non-essential","<a href='https://mycobrowser.epfl.ch/genes/Rv2342' target='_blank'>Tuberculist</a>","<a href='http://genome.tbdb.org/cgi-bin/GeneDetails.html?id=SRv2342' target='_blank'>TB Database</a>","<a href='http://www.genome.jp/dbget-bin/www_bget?mtu:Rv2342' target='_blank'>KEGG</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=Rv2342' target='_blank'>PubMed</a>","<a href='https://www.google.com/search?q=Rv2342' target='_blank'>Google</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=Rv2342' target='_blank'>PubMed Gene Name</a>","<a href='https://www.google.com/search?q=Rv2342' target='_blank'>Google Gene Name</a>","<span style=""font-weight:bold"">Essentiality </span>(DeJesus, 2017): Non-essential","<span style=""font-weight:bold"">ORF: </span>Rv2342"
"2403","Rv2343c","dnaG","Probable DNA primase DnaG","Essential","<a href='https://mycobrowser.epfl.ch/genes/Rv2343c' target='_blank'>Tuberculist</a>","<a href='http://genome.tbdb.org/cgi-bin/GeneDetails.html?id=SRv2343c' target='_blank'>TB Database</a>","<a href='http://www.genome.jp/dbget-bin/www_bget?mtu:Rv2343c' target='_blank'>KEGG</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=Rv2343c' target='_blank'>PubMed</a>","<a href='https://www.google.com/search?q=Rv2343c' target='_blank'>Google</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=dnaG' target='_blank'>PubMed Gene Name</a>","<a href='https://www.google.com/search?q=dnaG' target='_blank'>Google Gene Name</a>","<span style=""font-weight:bold"">Essentiality </span>(DeJesus, 2017): Essential","<span style=""font-weight:bold"">ORF: </span>Rv2343c"
"2404","Rv2344c","dgt","Probable deoxyguanosine triphosphate triphosphohydrolase Dgt (dGTPase) (dGTP triphosphohydrolase)","Non-essential","<a href='https://mycobrowser.epfl.ch/genes/Rv2344c' target='_blank'>Tuberculist</a>","<a href='http://genome.tbdb.org/cgi-bin/GeneDetails.html?id=SRv2344c' target='_blank'>TB Database</a>","<a href='http://www.genome.jp/dbget-bin/www_bget?mtu:Rv2344c' target='_blank'>KEGG</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=Rv2344c' target='_blank'>PubMed</a>","<a href='https://www.google.com/search?q=Rv2344c' target='_blank'>Google</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=dgt' target='_blank'>PubMed Gene Name</a>","<a href='https://www.google.com/search?q=dgt' target='_blank'>Google Gene Name</a>","<span style=""font-weight:bold"">Essentiality </span>(DeJesus, 2017): Non-essential","<span style=""font-weight:bold"">ORF: </span>Rv2344c"
"2405","Rv2345","Rv2345","Possible conserved transmembrane protein","Growth-advantage","<a href='https://mycobrowser.epfl.ch/genes/Rv2345' target='_blank'>Tuberculist</a>","<a href='http://genome.tbdb.org/cgi-bin/GeneDetails.html?id=SRv2345' target='_blank'>TB Database</a>","<a href='http://www.genome.jp/dbget-bin/www_bget?mtu:Rv2345' target='_blank'>KEGG</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=Rv2345' target='_blank'>PubMed</a>","<a href='https://www.google.com/search?q=Rv2345' target='_blank'>Google</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=Rv2345' target='_blank'>PubMed Gene Name</a>","<a href='https://www.google.com/search?q=Rv2345' target='_blank'>Google Gene Name</a>","<span style=""font-weight:bold"">Essentiality </span>(DeJesus, 2017): Growth-advantage","<span style=""font-weight:bold"">ORF: </span>Rv2345"
"2406","Rv2346c","esxO","Putative ESAT-6 like protein EsxO (ESAT-6 like protein 6)","Growth-advantage","<a href='https://mycobrowser.epfl.ch/genes/Rv2346c' target='_blank'>Tuberculist</a>","<a href='http://genome.tbdb.org/cgi-bin/GeneDetails.html?id=SRv2346c' target='_blank'>TB Database</a>","<a href='http://www.genome.jp/dbget-bin/www_bget?mtu:Rv2346c' target='_blank'>KEGG</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=Rv2346c' target='_blank'>PubMed</a>","<a href='https://www.google.com/search?q=Rv2346c' target='_blank'>Google</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=esxO' target='_blank'>PubMed Gene Name</a>","<a href='https://www.google.com/search?q=esxO' target='_blank'>Google Gene Name</a>","<span style=""font-weight:bold"">Essentiality </span>(DeJesus, 2017): Growth-advantage","<span style=""font-weight:bold"">ORF: </span>Rv2346c"
"2407","Rv2347c","esxP","Putative ESAT-6 like protein EsxP (ESAT-6 like protein 7)","Growth-advantage","<a href='https://mycobrowser.epfl.ch/genes/Rv2347c' target='_blank'>Tuberculist</a>","<a href='http://genome.tbdb.org/cgi-bin/GeneDetails.html?id=SRv2347c' target='_blank'>TB Database</a>","<a href='http://www.genome.jp/dbget-bin/www_bget?mtu:Rv2347c' target='_blank'>KEGG</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=Rv2347c' target='_blank'>PubMed</a>","<a href='https://www.google.com/search?q=Rv2347c' target='_blank'>Google</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=esxP' target='_blank'>PubMed Gene Name</a>","<a href='https://www.google.com/search?q=esxP' target='_blank'>Google Gene Name</a>","<span style=""font-weight:bold"">Essentiality </span>(DeJesus, 2017): Growth-advantage","<span style=""font-weight:bold"">ORF: </span>Rv2347c"
"2408","Rv2348c","Rv2348c","Hypothetical protein","Growth-advantage","<a href='https://mycobrowser.epfl.ch/genes/Rv2348c' target='_blank'>Tuberculist</a>","<a href='http://genome.tbdb.org/cgi-bin/GeneDetails.html?id=SRv2348c' target='_blank'>TB Database</a>","<a href='http://www.genome.jp/dbget-bin/www_bget?mtu:Rv2348c' target='_blank'>KEGG</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=Rv2348c' target='_blank'>PubMed</a>","<a href='https://www.google.com/search?q=Rv2348c' target='_blank'>Google</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=Rv2348c' target='_blank'>PubMed Gene Name</a>","<a href='https://www.google.com/search?q=Rv2348c' target='_blank'>Google Gene Name</a>","<span style=""font-weight:bold"">Essentiality </span>(DeJesus, 2017): Growth-advantage","<span style=""font-weight:bold"">ORF: </span>Rv2348c"
"2409","Rv2349c","plcC","Probable phospholipase C 3 PlcC","Growth-advantage","<a href='https://mycobrowser.epfl.ch/genes/Rv2349c' target='_blank'>Tuberculist</a>","<a href='http://genome.tbdb.org/cgi-bin/GeneDetails.html?id=SRv2349c' target='_blank'>TB Database</a>","<a href='http://www.genome.jp/dbget-bin/www_bget?mtu:Rv2349c' target='_blank'>KEGG</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=Rv2349c' target='_blank'>PubMed</a>","<a href='https://www.google.com/search?q=Rv2349c' target='_blank'>Google</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=plcC' target='_blank'>PubMed Gene Name</a>","<a href='https://www.google.com/search?q=plcC' target='_blank'>Google Gene Name</a>","<span style=""font-weight:bold"">Essentiality </span>(DeJesus, 2017): Growth-advantage","<span style=""font-weight:bold"">ORF: </span>Rv2349c"
"2410","Rv2350c","plcB","Membrane-associated phospholipase C 2 PlcB","Growth-advantage","<a href='https://mycobrowser.epfl.ch/genes/Rv2350c' target='_blank'>Tuberculist</a>","<a href='http://genome.tbdb.org/cgi-bin/GeneDetails.html?id=SRv2350c' target='_blank'>TB Database</a>","<a href='http://www.genome.jp/dbget-bin/www_bget?mtu:Rv2350c' target='_blank'>KEGG</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=Rv2350c' target='_blank'>PubMed</a>","<a href='https://www.google.com/search?q=Rv2350c' target='_blank'>Google</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=plcB' target='_blank'>PubMed Gene Name</a>","<a href='https://www.google.com/search?q=plcB' target='_blank'>Google Gene Name</a>","<span style=""font-weight:bold"">Essentiality </span>(DeJesus, 2017): Growth-advantage","<span style=""font-weight:bold"">ORF: </span>Rv2350c"
"2411","Rv2351c","plcA","Membrane-associated phospholipase C 1 PlcA (MTP40 antigen)","Growth-advantage","<a href='https://mycobrowser.epfl.ch/genes/Rv2351c' target='_blank'>Tuberculist</a>","<a href='http://genome.tbdb.org/cgi-bin/GeneDetails.html?id=SRv2351c' target='_blank'>TB Database</a>","<a href='http://www.genome.jp/dbget-bin/www_bget?mtu:Rv2351c' target='_blank'>KEGG</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=Rv2351c' target='_blank'>PubMed</a>","<a href='https://www.google.com/search?q=Rv2351c' target='_blank'>Google</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=plcA' target='_blank'>PubMed Gene Name</a>","<a href='https://www.google.com/search?q=plcA' target='_blank'>Google Gene Name</a>","<span style=""font-weight:bold"">Essentiality </span>(DeJesus, 2017): Growth-advantage","<span style=""font-weight:bold"">ORF: </span>Rv2351c"
"2412","Rv2352c","PPE38","PPE family protein PPE38","Growth-advantage","<a href='https://mycobrowser.epfl.ch/genes/Rv2352c' target='_blank'>Tuberculist</a>","<a href='http://genome.tbdb.org/cgi-bin/GeneDetails.html?id=SRv2352c' target='_blank'>TB Database</a>","<a href='http://www.genome.jp/dbget-bin/www_bget?mtu:Rv2352c' target='_blank'>KEGG</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=Rv2352c' target='_blank'>PubMed</a>","<a href='https://www.google.com/search?q=Rv2352c' target='_blank'>Google</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=PPE38' target='_blank'>PubMed Gene Name</a>","<a href='https://www.google.com/search?q=PPE38' target='_blank'>Google Gene Name</a>","<span style=""font-weight:bold"">Essentiality </span>(DeJesus, 2017): Growth-advantage","<span style=""font-weight:bold"">ORF: </span>Rv2352c"
"2413","Rv2353c","PPE39","PPE family protein PPE39","Non-essential","<a href='https://mycobrowser.epfl.ch/genes/Rv2353c' target='_blank'>Tuberculist</a>","<a href='http://genome.tbdb.org/cgi-bin/GeneDetails.html?id=SRv2353c' target='_blank'>TB Database</a>","<a href='http://www.genome.jp/dbget-bin/www_bget?mtu:Rv2353c' target='_blank'>KEGG</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=Rv2353c' target='_blank'>PubMed</a>","<a href='https://www.google.com/search?q=Rv2353c' target='_blank'>Google</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=PPE39' target='_blank'>PubMed Gene Name</a>","<a href='https://www.google.com/search?q=PPE39' target='_blank'>Google Gene Name</a>","<span style=""font-weight:bold"">Essentiality </span>(DeJesus, 2017): Non-essential","<span style=""font-weight:bold"">ORF: </span>Rv2353c"
"2414","Rv2354","Rv2354","Probable transposase for insertion sequence element IS6110 (fragment)","Non-essential","<a href='https://mycobrowser.epfl.ch/genes/Rv2354' target='_blank'>Tuberculist</a>","<a href='http://genome.tbdb.org/cgi-bin/GeneDetails.html?id=SRv2354' target='_blank'>TB Database</a>","<a href='http://www.genome.jp/dbget-bin/www_bget?mtu:Rv2354' target='_blank'>KEGG</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=Rv2354' target='_blank'>PubMed</a>","<a href='https://www.google.com/search?q=Rv2354' target='_blank'>Google</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=Rv2354' target='_blank'>PubMed Gene Name</a>","<a href='https://www.google.com/search?q=Rv2354' target='_blank'>Google Gene Name</a>","<span style=""font-weight:bold"">Essentiality </span>(DeJesus, 2017): Non-essential","<span style=""font-weight:bold"">ORF: </span>Rv2354"
"2415","Rv2355","Rv2355","Probable transposase","Non-essential","<a href='https://mycobrowser.epfl.ch/genes/Rv2355' target='_blank'>Tuberculist</a>","<a href='http://genome.tbdb.org/cgi-bin/GeneDetails.html?id=SRv2355' target='_blank'>TB Database</a>","<a href='http://www.genome.jp/dbget-bin/www_bget?mtu:Rv2355' target='_blank'>KEGG</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=Rv2355' target='_blank'>PubMed</a>","<a href='https://www.google.com/search?q=Rv2355' target='_blank'>Google</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=Rv2355' target='_blank'>PubMed Gene Name</a>","<a href='https://www.google.com/search?q=Rv2355' target='_blank'>Google Gene Name</a>","<span style=""font-weight:bold"">Essentiality </span>(DeJesus, 2017): Non-essential","<span style=""font-weight:bold"">ORF: </span>Rv2355"
"2416","Rv2356c","PPE40","PPE family protein PPE40","Non-essential","<a href='https://mycobrowser.epfl.ch/genes/Rv2356c' target='_blank'>Tuberculist</a>","<a href='http://genome.tbdb.org/cgi-bin/GeneDetails.html?id=SRv2356c' target='_blank'>TB Database</a>","<a href='http://www.genome.jp/dbget-bin/www_bget?mtu:Rv2356c' target='_blank'>KEGG</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=Rv2356c' target='_blank'>PubMed</a>","<a href='https://www.google.com/search?q=Rv2356c' target='_blank'>Google</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=PPE40' target='_blank'>PubMed Gene Name</a>","<a href='https://www.google.com/search?q=PPE40' target='_blank'>Google Gene Name</a>","<span style=""font-weight:bold"">Essentiality </span>(DeJesus, 2017): Non-essential","<span style=""font-weight:bold"">ORF: </span>Rv2356c"
"2417","Rv2357c","glyS","Probable glycyl-tRNA synthetase GlyS (glycine--tRNA ligase) (GLYRS)","Essential","<a href='https://mycobrowser.epfl.ch/genes/Rv2357c' target='_blank'>Tuberculist</a>","<a href='http://genome.tbdb.org/cgi-bin/GeneDetails.html?id=SRv2357c' target='_blank'>TB Database</a>","<a href='http://www.genome.jp/dbget-bin/www_bget?mtu:Rv2357c' target='_blank'>KEGG</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=Rv2357c' target='_blank'>PubMed</a>","<a href='https://www.google.com/search?q=Rv2357c' target='_blank'>Google</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=glyS' target='_blank'>PubMed Gene Name</a>","<a href='https://www.google.com/search?q=glyS' target='_blank'>Google Gene Name</a>","<span style=""font-weight:bold"">Essentiality </span>(DeJesus, 2017): Essential","<span style=""font-weight:bold"">ORF: </span>Rv2357c"
"2418","Rv2358","smtB","Probable transcriptional regulatory protein SmtB (probably ArsR-family)","Non-essential","<a href='https://mycobrowser.epfl.ch/genes/Rv2358' target='_blank'>Tuberculist</a>","<a href='http://genome.tbdb.org/cgi-bin/GeneDetails.html?id=SRv2358' target='_blank'>TB Database</a>","<a href='http://www.genome.jp/dbget-bin/www_bget?mtu:Rv2358' target='_blank'>KEGG</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=Rv2358' target='_blank'>PubMed</a>","<a href='https://www.google.com/search?q=Rv2358' target='_blank'>Google</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=smtB' target='_blank'>PubMed Gene Name</a>","<a href='https://www.google.com/search?q=smtB' target='_blank'>Google Gene Name</a>","<span style=""font-weight:bold"">Essentiality </span>(DeJesus, 2017): Non-essential","<span style=""font-weight:bold"">ORF: </span>Rv2358"
"2419","Rv2359","zur","Probable zinc uptake regulation protein Zur","Non-essential","<a href='https://mycobrowser.epfl.ch/genes/Rv2359' target='_blank'>Tuberculist</a>","<a href='http://genome.tbdb.org/cgi-bin/GeneDetails.html?id=SRv2359' target='_blank'>TB Database</a>","<a href='http://www.genome.jp/dbget-bin/www_bget?mtu:Rv2359' target='_blank'>KEGG</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=Rv2359' target='_blank'>PubMed</a>","<a href='https://www.google.com/search?q=Rv2359' target='_blank'>Google</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=zur' target='_blank'>PubMed Gene Name</a>","<a href='https://www.google.com/search?q=zur' target='_blank'>Google Gene Name</a>","<span style=""font-weight:bold"">Essentiality </span>(DeJesus, 2017): Non-essential","<span style=""font-weight:bold"">ORF: </span>Rv2359"
"2420","Rv2360c","Rv2360c","hypothetical protein","Non-essential","<a href='https://mycobrowser.epfl.ch/genes/Rv2360c' target='_blank'>Tuberculist</a>","<a href='http://genome.tbdb.org/cgi-bin/GeneDetails.html?id=SRv2360c' target='_blank'>TB Database</a>","<a href='http://www.genome.jp/dbget-bin/www_bget?mtu:Rv2360c' target='_blank'>KEGG</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=Rv2360c' target='_blank'>PubMed</a>","<a href='https://www.google.com/search?q=Rv2360c' target='_blank'>Google</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=Rv2360c' target='_blank'>PubMed Gene Name</a>","<a href='https://www.google.com/search?q=Rv2360c' target='_blank'>Google Gene Name</a>","<span style=""font-weight:bold"">Essentiality </span>(DeJesus, 2017): Non-essential","<span style=""font-weight:bold"">ORF: </span>Rv2360c"
"2421","Rv2361c","Rv2361c","Long (C50) chain Z-isoprenyl diphosphate synthase (Z-decaprenyl diphosphate synthase)","Essential","<a href='https://mycobrowser.epfl.ch/genes/Rv2361c' target='_blank'>Tuberculist</a>","<a href='http://genome.tbdb.org/cgi-bin/GeneDetails.html?id=SRv2361c' target='_blank'>TB Database</a>","<a href='http://www.genome.jp/dbget-bin/www_bget?mtu:Rv2361c' target='_blank'>KEGG</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=Rv2361c' target='_blank'>PubMed</a>","<a href='https://www.google.com/search?q=Rv2361c' target='_blank'>Google</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=Rv2361c' target='_blank'>PubMed Gene Name</a>","<a href='https://www.google.com/search?q=Rv2361c' target='_blank'>Google Gene Name</a>","<span style=""font-weight:bold"">Essentiality </span>(DeJesus, 2017): Essential","<span style=""font-weight:bold"">ORF: </span>Rv2361c"
"2422","Rv2362c","recO","Possible DNA repair protein RecO","Essential domain","<a href='https://mycobrowser.epfl.ch/genes/Rv2362c' target='_blank'>Tuberculist</a>","<a href='http://genome.tbdb.org/cgi-bin/GeneDetails.html?id=SRv2362c' target='_blank'>TB Database</a>","<a href='http://www.genome.jp/dbget-bin/www_bget?mtu:Rv2362c' target='_blank'>KEGG</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=Rv2362c' target='_blank'>PubMed</a>","<a href='https://www.google.com/search?q=Rv2362c' target='_blank'>Google</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=recO' target='_blank'>PubMed Gene Name</a>","<a href='https://www.google.com/search?q=recO' target='_blank'>Google Gene Name</a>","<span style=""font-weight:bold"">Essentiality </span>(DeJesus, 2017): Essential domain","<span style=""font-weight:bold"">ORF: </span>Rv2362c"
"2423","Rv2363","amiA2","Probable amidase AmiA2 (aminohydrolase)","Non-essential","<a href='https://mycobrowser.epfl.ch/genes/Rv2363' target='_blank'>Tuberculist</a>","<a href='http://genome.tbdb.org/cgi-bin/GeneDetails.html?id=SRv2363' target='_blank'>TB Database</a>","<a href='http://www.genome.jp/dbget-bin/www_bget?mtu:Rv2363' target='_blank'>KEGG</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=Rv2363' target='_blank'>PubMed</a>","<a href='https://www.google.com/search?q=Rv2363' target='_blank'>Google</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=amiA2' target='_blank'>PubMed Gene Name</a>","<a href='https://www.google.com/search?q=amiA2' target='_blank'>Google Gene Name</a>","<span style=""font-weight:bold"">Essentiality </span>(DeJesus, 2017): Non-essential","<span style=""font-weight:bold"">ORF: </span>Rv2363"
"2424","Rv2364c","era","Probable GTP-binding protein Era","Growth-defect","<a href='https://mycobrowser.epfl.ch/genes/Rv2364c' target='_blank'>Tuberculist</a>","<a href='http://genome.tbdb.org/cgi-bin/GeneDetails.html?id=SRv2364c' target='_blank'>TB Database</a>","<a href='http://www.genome.jp/dbget-bin/www_bget?mtu:Rv2364c' target='_blank'>KEGG</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=Rv2364c' target='_blank'>PubMed</a>","<a href='https://www.google.com/search?q=Rv2364c' target='_blank'>Google</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=era' target='_blank'>PubMed Gene Name</a>","<a href='https://www.google.com/search?q=era' target='_blank'>Google Gene Name</a>","<span style=""font-weight:bold"">Essentiality </span>(DeJesus, 2017): Growth-defect","<span style=""font-weight:bold"">ORF: </span>Rv2364c"
"2425","Rv2365c","Rv2365c","hypothetical protein","Non-essential","<a href='https://mycobrowser.epfl.ch/genes/Rv2365c' target='_blank'>Tuberculist</a>","<a href='http://genome.tbdb.org/cgi-bin/GeneDetails.html?id=SRv2365c' target='_blank'>TB Database</a>","<a href='http://www.genome.jp/dbget-bin/www_bget?mtu:Rv2365c' target='_blank'>KEGG</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=Rv2365c' target='_blank'>PubMed</a>","<a href='https://www.google.com/search?q=Rv2365c' target='_blank'>Google</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=Rv2365c' target='_blank'>PubMed Gene Name</a>","<a href='https://www.google.com/search?q=Rv2365c' target='_blank'>Google Gene Name</a>","<span style=""font-weight:bold"">Essentiality </span>(DeJesus, 2017): Non-essential","<span style=""font-weight:bold"">ORF: </span>Rv2365c"
"2426","Rv2366c","Rv2366c","Probable conserved transmembrane protein","Non-essential","<a href='https://mycobrowser.epfl.ch/genes/Rv2366c' target='_blank'>Tuberculist</a>","<a href='http://genome.tbdb.org/cgi-bin/GeneDetails.html?id=SRv2366c' target='_blank'>TB Database</a>","<a href='http://www.genome.jp/dbget-bin/www_bget?mtu:Rv2366c' target='_blank'>KEGG</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=Rv2366c' target='_blank'>PubMed</a>","<a href='https://www.google.com/search?q=Rv2366c' target='_blank'>Google</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=Rv2366c' target='_blank'>PubMed Gene Name</a>","<a href='https://www.google.com/search?q=Rv2366c' target='_blank'>Google Gene Name</a>","<span style=""font-weight:bold"">Essentiality </span>(DeJesus, 2017): Non-essential","<span style=""font-weight:bold"">ORF: </span>Rv2366c"
"2427","Rv2367c","Rv2367c","hypothetical protein","Non-essential","<a href='https://mycobrowser.epfl.ch/genes/Rv2367c' target='_blank'>Tuberculist</a>","<a href='http://genome.tbdb.org/cgi-bin/GeneDetails.html?id=SRv2367c' target='_blank'>TB Database</a>","<a href='http://www.genome.jp/dbget-bin/www_bget?mtu:Rv2367c' target='_blank'>KEGG</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=Rv2367c' target='_blank'>PubMed</a>","<a href='https://www.google.com/search?q=Rv2367c' target='_blank'>Google</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=Rv2367c' target='_blank'>PubMed Gene Name</a>","<a href='https://www.google.com/search?q=Rv2367c' target='_blank'>Google Gene Name</a>","<span style=""font-weight:bold"">Essentiality </span>(DeJesus, 2017): Non-essential","<span style=""font-weight:bold"">ORF: </span>Rv2367c"
"2428","Rv2368c","phoH1","Probable PHOH-like protein PhoH1 (phosphate starvation-inducible protein PSIH)","Non-essential","<a href='https://mycobrowser.epfl.ch/genes/Rv2368c' target='_blank'>Tuberculist</a>","<a href='http://genome.tbdb.org/cgi-bin/GeneDetails.html?id=SRv2368c' target='_blank'>TB Database</a>","<a href='http://www.genome.jp/dbget-bin/www_bget?mtu:Rv2368c' target='_blank'>KEGG</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=Rv2368c' target='_blank'>PubMed</a>","<a href='https://www.google.com/search?q=Rv2368c' target='_blank'>Google</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=phoH1' target='_blank'>PubMed Gene Name</a>","<a href='https://www.google.com/search?q=phoH1' target='_blank'>Google Gene Name</a>","<span style=""font-weight:bold"">Essentiality </span>(DeJesus, 2017): Non-essential","<span style=""font-weight:bold"">ORF: </span>Rv2368c"
"2429","Rv2369c","Rv2369c","Hypothetical protein","Non-essential","<a href='https://mycobrowser.epfl.ch/genes/Rv2369c' target='_blank'>Tuberculist</a>","<a href='http://genome.tbdb.org/cgi-bin/GeneDetails.html?id=SRv2369c' target='_blank'>TB Database</a>","<a href='http://www.genome.jp/dbget-bin/www_bget?mtu:Rv2369c' target='_blank'>KEGG</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=Rv2369c' target='_blank'>PubMed</a>","<a href='https://www.google.com/search?q=Rv2369c' target='_blank'>Google</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=Rv2369c' target='_blank'>PubMed Gene Name</a>","<a href='https://www.google.com/search?q=Rv2369c' target='_blank'>Google Gene Name</a>","<span style=""font-weight:bold"">Essentiality </span>(DeJesus, 2017): Non-essential","<span style=""font-weight:bold"">ORF: </span>Rv2369c"
"2430","Rv2370c","Rv2370c","hypothetical protein","Non-essential","<a href='https://mycobrowser.epfl.ch/genes/Rv2370c' target='_blank'>Tuberculist</a>","<a href='http://genome.tbdb.org/cgi-bin/GeneDetails.html?id=SRv2370c' target='_blank'>TB Database</a>","<a href='http://www.genome.jp/dbget-bin/www_bget?mtu:Rv2370c' target='_blank'>KEGG</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=Rv2370c' target='_blank'>PubMed</a>","<a href='https://www.google.com/search?q=Rv2370c' target='_blank'>Google</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=Rv2370c' target='_blank'>PubMed Gene Name</a>","<a href='https://www.google.com/search?q=Rv2370c' target='_blank'>Google Gene Name</a>","<span style=""font-weight:bold"">Essentiality </span>(DeJesus, 2017): Non-essential","<span style=""font-weight:bold"">ORF: </span>Rv2370c"
